Wie viele Informatikklassen gibt es heuer?;16;12;19;5;15;Zähle im Schulhaus die Klassen mit der Endung "hif".;Informatik;How many informatics classes are there this year?;16;12;19;5;15;Count all classrooms in this building with the ending "hif".;Informatics
Welchen Gegenstand hat man in der 1. Klasse alle 2 Wochen?;TC4A;NVSU;DBI1;HGE6;Q0YT;Die Schüler und Lehrer im TINF-Lab können dir sicher helfen.;Informatik;Which subject do you have every 2 weeks in the afternoon in first form?;TC4A;NVSU;DBI2;HGE6;Q0YT;The students and teachers in the TINF-Lab can help you.;Informatics
Welches Fach hat man nur die ersten 2 Jahre?;SOPK;SYP1;NVSU;VERT;Q0YT;Frage einen Lehrer oder Schüler der Informatik-Abteilung.;Informatik;Which subject do you only have in the first 2 years?;SOPK;SYP1;NVSU;VERT;Q0YT;Ask a teacher or student of the Computing department.;Informatics
Welche Sprache wird in den CLIL-Klassen häufiger gesprochen, als in anderen?;Englisch;Spanisch;Russisch;Französisch;Italienisch;Im EDV-Saal neben dem Spielecorner wirst du eine Antwort finden.;CLIL;Which language do people in CLIL-classes speak more frequently?;English;Spanish;French;Russian;Italian;You'll find the answer in the computer room next to the GamesCorner.;CLIL
Ab welchem Jahrgang werden in CLIL-Klassen Präsentationen in Englisch gehalten?;1.;2.;3.;4.;5.;Je früher, desto besser.;CLIL;When do students in CLIL-classes start giving presentations in English?;1. year;2. year;3. year;4. year;5. year;The sooner the better.;CLIL
Was muss man in einer CLIL-Klasse zusätzlich pro Semester machen?;Portfolio;Schularbeit;Präsentation;extra Hausübungen;Video drehen;Erkunde dich bei den Englisch-Lehrern oder Schülern der Englisch-Klassen.;CLIL;What do you have to do additionally, if you're in a CLIL-class?;portfolio;tests;more homework;shooting a video;presentations;Ask an English teacher or a student from a CLIL class.;CLIL
Wohin fahren die CLIL-Klassen meistens auf ihrer Sprachreise?;New York City;London;Dublin;Edinburgh;Cardiff;Erkunde dich bei den Englischlehrern oder Schülern der Englisch-Klassen.;CLIL;Where do CLIL-classes mostly go to on their language trip?;New York City;London;Dublin;Edinburgh;Cardiff;Ask an English teacher or a a student from a CLIL class.;CLIL
Wie viele CLIL-Klassen gibt es heuer (nur in den 1. Klassen)?;2;1;3;4;5;Alle Klassen nach a und b sind CLIL-Klassen.;CLIL;How many CLIL-classes are there this year (only first form)?;2;1;3;4;5;All classes after a and b are CLIL-Classes.;CLIL
Wo findet der meiste Teil des Mechatronik-Unterrichts statt?;Arnfels;Kaindorf/Sulm;Leibnitz;Aflenz;Graz;Am gleichen Ort, wie sich das Internat befindet.;Mechatronik;Where do the mechatronic classes take place?;Arnfels;Kaindorf/Sulm;Leibnitz;Aflenz;Graz;Same place as the boarding school.;Mechatronics
Wie viele Klassen gibt es jedes Jahr in der Mechatronik?;1;2;3;4;5;Die Schüler der Mechatronikabteilung können dir sicher helfen.;Mechatronik;How many classes are there each year for mechatronics?;1;2;3;4;5;Students from the mechatronics department can help you.;Mechatronics
Seit wann gibt es die Mechatronik-Abteilung?;seit 2002;seit 2005;seit 2000;seit 2009;seit 2013;Die Schüler der Mechatronikabteilung können dir helfen, sonst Wikipedia.;Mechatronik;When was the mechatronics department first established?;2002;2005;2000;2009;2013;Students from the mechatronics department can help you.;Mechatronics
Wie viele Tage verbringen die Mechatroniker pro Woche in Kaindorf?;1;2;3;4;5;Die Schüler der Mechatronikabteilung können dir sicher helfen.;Mechatronik;How often a week is the mechatronics department in Kaindorf?;1;2;3;4;5;Students from the mechatronics department can help you.;Mechatronics
Welches Fach gibt es nur in der Mechatronik?;ETE;D;AM;DBI;TINF;Die Schüler der Mechatronikabteilung können dir sicher helfen.;Mechatronik;What subject is only in mechatronics department?;ETE;D;AM;DBI;TINF;Students from the mechatronics department can help you.;Mechatronics
Wie viele Religionslehrer gibt es?;4;1;2;5;3;Es gibt römisch-katholische und evangelische Lehrer.;Religion;How many teachers are there for religious education?;4;1;2;5;3;There are roman-catholic and protestant teachers.;Religion
Wie viele Jahre hat man Religion?;5;2;3;4;1;Die Religionslehrer können dir sicher weiterhelfen.;Religion;How many years do you have Religious education?;5;2;3;4;1;The Religious education teachers can help you.;Religion
Wie heißt einer der Religionslehrer mit Nachnamen?;Pabst;Bischof;Pfarrer;Priester;Inquisitor;Die Religionslehrer können dir sicher weiterhelfen.;Religion;What is one of the Religious education teacher's last name?;Pabst;Bischof;Pfarrer;Priester;Inquisitor;The Religious education teachers can help you.;Religion
Welche Religion wird neben römisch-katholisch unterrichtet?;evangelisch;buddhistisch;islamisch;jüdisch;hinduistisch;Die Religionslehrer können dir sicher weiterhelfen.;Religion;Which religion is taught besides Roman Catholic?;protestant;buddhist;islamic;jewish;hinduistic;The Religious education teachers can help you.;Religion
Wie heißt die Lehrerin, die römisch-katholisch unterrichtet?;Ulz;Traumüller-Haynaly;Meixner;Mayr;Primig;Die Religionslehrer können dir sicher weiterhelfen.;Religion;What is a Roman Catholic teacher's name?;Ulz;Traumüller-Haynaly;Meixner;Mayr;Primig;The Religious education teachers can help you.;Religion
Wer unterrichtet im CISCO Lab?;Gugerbauer;Primig;Meixner;Ulz;Rainer;Schüler und Lehrer im CISCO Lab können dir sicher helfen.;CISCO Lab;Who teaches in the CISCO lab?;Gugerbauer;Primig;Meixner;Ulz;Rainer;Students and teachers in the CISCO Lab can help you.;CISCO Lab
Wer unterrichtet im CISCO Lab?;Haynaly;Primig;Meixner;Ulz;Rainer;Schüler und Lehrer im CISCO Lab können dir sicher helfen.;CISCO Lab;Who teaches in the CISCO lab?;Haynaly;Primig;Meixner;Ulz;Rainer;Students and teachers in the CISCO Lab can help you.;CISCO Lab
Von welcher Firma sind die meisten Geräte im CISCO Lab?;CISCO;HP;Netgear;Huawei;Ubiquiti;Schüler und Lehrer im CISCO Lab können dir sicher helfen.;CISCO Lab;Which company provides most of the devices for the CISCO Lab?;CISCO;HP;Netgear;Huawei;Ubiquiti;Students and teachers in the CISCO Lab can help you.;CISCO Lab
Ab wann gibt es Übungen im CISCO Lab?;3. Jahr;1. Jahr;2. Jahr;4. Jahr;5. Jahr;Schüler und Lehrer im CISCO Lab können dir sicher helfen.;CISCO Lab;In which year do lessons in the CISCO lab start?;3. year;2. year;1. year;4. year;5. year;Students and teachers in the CISCO Lab can help you.;CISCO Lab
Wie oft finden Laborübungen in der 3. und 4. Klasse statt?;alle 2 Wochen;jede Woche;einmal im Jahr;einmal im Monat;nie;Schüler und Lehrer im CISCO Lab können dir sicher helfen.;CISCO Lab;How often are lessons in the CISCO lab held?;every 2 weeks;every week;once a year;once a month;never;Students and teachers in the CISCO Lab can help you.;CISCO Lab
Ab welchem Jahr kann man in der HTL Spanisch lernen?;2.;1.;3.;4.;5.;Am Spanisch-Stand wirst du die richtige Antwort erfahren.;Spanisch;In which year can you start learning Spanish?;2.;1.;3.;4.;5.;You'll get the right answer at the Spanish booth.;Spanish
Begrüße jemanden auf Spanisch.;Hola!;Adios!;Hasta la vista!;Huevos!;Domingo!;Am Spanisch-Stand oder in einem Online-Wörterbuch wirst du die richtige Antwort erfahren.;Spanisch;Greet someone in Spanish.;Hola!;Adios!;Hasta la vista!;Huevos!;Domingo!;You'll get the right answer at the Spanish booth or from an online dictionary.;Spanish
Wohin fahren Spanisch-Schüler auf Sprachreise?;Barcelona;Madrid;Buenos Aires;Santiago de Chile;Montevideo;Am Spanisch-Stand wirst du die richtige Antwort erfahren.;Spanisch;Where are Spanish-students going for their language trip?;Barcelona;Madrid;Buenos Aires;Santiago de Chile;Montevideo;You'll get the right answer at the Spanish booth.;Spanish
Wer unterrichtet Spanisch?;Mayr;Traumüller-Haynaly;Primig;Chemloul;Stadlhofer;Schüler am Spanisch Stand können dir sicher helfen.;Spanisch;Who is a spanish teacher?;Mayr;Traumüller-Haynaly;Primig;Chemloul;Stadlhofer;Students at the Spanish booth will help you.;Spanish
Wer unterrichtet Spanisch?;Pichler;Traumüller-Haynaly;Primig;Chemloul;Stadlhofer;Schüler am Spanisch Stand können dir sicher helfen.;Spanisch;Who is a spanish teacher?;Pichler;Traumüller-Haynaly;Primig;Chemloul;Stadlhofer;Students at the Spanish booth will help you.;Spanish
Was lernt man in "Betriebswirtschaft und Management"?;reich werden;Geld drucken;einkaufen;betrügen;gar nichts;Schüler oder Lehrer im BWM Raum können dir sicher helfen.;Betriebswirtschaft;What do you learn in "Business Studies"?;becoming rich;printing money;buying things;betray people;nothing;People in the business studies room can help you.;Business Studies
Was ist die Abkürzung für das Fach "Betriebswirtschaft und Management"?;BWM;BWMA;BMW;BW;BM;Schüler oder Lehrer im Betriebswirtschaftsraum können dir sicher helfen.;Betriebswirtschaft;What is the abbreviation for the subject "Business Studies"?;BWM;BWMA;BMW;BW;BM;People in the business studies room can help you.;Business Studies
Welcher Lehrer unterrichtet "Betriebswirtschaft und Management"?;Köppel;Chemloul;Stückler;Ulz;Primig;Schüler oder Lehrer im BWM Raum können dir sicher helfen.;Betriebswirtschaft;Who teaches "Business Studies"?;Köppel;Chemloul;Stückler;Ulz;Primig;People in the business studies room can help you.;Business Studies
Welcher Lehrer unterrichtet "Betriebswirtschaft und Management"?;Karner;Chemloul;Stückler;Ulz;Primig;Schüler oder Lehrer im BWM Raum können dir sicher helfen.;Betriebswirtschaft;Who teaches "Business Studies"?;Karner;Chemloul;Stückler;Ulz;Primig;People in the business studies room can help you.;Business Studies
Welcher Lehrer unterrichtet "Betriebswirtschaft und Management"?;Eder-Skof;Chemloul;Stückler;Ulz;Primig;Schüler oder Lehrer im BWM Raum können dir sicher helfen.;Betriebswirtschaft;Who teaches "Business Studies"?;Eder-Skof;Chemloul;Stückler;Ulz;Primig;People in the business studies room can help you.;Business Studies
Was bringen dir Zertifizierungen?;bessere Jobchancen;mehr Freizeit;mehr Freunde;gratis Kaffee;Grundwissen in Russisch;Denk nach :);Freigegenstände;What is an advantage of getting certificates?;better job opportunities;more friends;more free time;free coffee;Basic knowledge in russian;Think about it :);Voluntary subjects
Welchen Freigegenstand gibt es?;Spanisch;Französisch;Russisch;Italienisch;Slowenisch;Suche im oberen Stock.;Freigegenstände;Which voluntary subjects are there?;spanish;french;russian;italian;slowenian;Look for the answer on the upper floor.;Voluntary subjects
Wer unterrichtet den Freigegenstand "Multimedia"?;Haynaly;Gugerbauer;Stadler;Graßmugg;Weber;Frage Schüler am Multimedia Stand.;Freigegenstände;Who is teaching the voluntary subject "Multimedia"?;Haynaly;Gugerbauer;Stadler;Graßmugg;Hagauer;Ask the students at the multimedia booth.;Voluntary subjects
Ab welchem Jahrgang gibt es Freigegenstände?;2.;3.;1.;4.;5.;Frag einen Schüler;Freigegenstände;What year can you begin to enroll in voluntary subjects?;2.;1.;3.;4.;5.;Ask a student.;Voluntary subjects
Wer ist für die Bibliothek zuständig?;Staines;Traumüller-Haynaly;Meixner;Dreisiebner-Tausendschön;Harmtodt;Frag in der Bibliothek nach!;Bibliothek;Who is in charge of the library?;Staines;Traumüller-Haynaly;Meixner;Dreisiebner-Tausendschön;Harmtodt;Ask someone in the library.;library
Wann ist die Bibliothek nicht offen?;Sonntag;Montag;Dienstag;Mittwoch;Freitag;Vor der Bibliothek hängt ein Zettel mit der richtigen Antwort.;Bibliothek;When is the library closed?;Sunday;Monday;Tuesday;Wednesday;Friday;In front of the library is a sheet witch the correct answer.;library
Wie viele Stunden ist die Bibliothek pro Woche geöffnet?;10;2;24;11;9;In fast jeder Klasse gibt es einen Infozettel.;Bibliothek;How many hours a week is the library open?;10;2;24;11;9;There is an information sheet in nearly every class.;library
Wie viel Prozent der Bücher in der Bibliothek sind in einer Fremdsprache?;18;50;99;0;37;Frag in der Bibliothek nach;Bibliothek;The amount of books in foreign language in the library(in %)?;18;50;99;0;37;Ask someone in the library;library
Wie viele Bücher gibt es in der Bibliothek?;9100;14000;5000;100;2;Frage in der Bibliothek, wie viele Bücher es gibt (oder zähle sie ab).;Bibliothek;How many books are in the library?;9100;14000;5000;100;2;Ask in the library (or count the books).;library
Was ist das Formelzeichen für Wasserstoff?;H;W;CO2;H2O;Qv;Gehe in den Chemiesaal und frag nach;Chemie-Saal;What is the chemical symbol for hydrogen?;H;W;CO2;H2O;Qv;Go to the chemistry-lab and ask;Chemistry room
Was ist das Formelzeichen für Darmstadtium?;Ds;Da;Du;Db;Dc;Gehe in den Chemiesaal und frag nach;Chemie-Saal;What is the chemical symbol for darmstadtium?;Ds;Da;Du;Db;Dc;Go to the chemistry-lab and ask;Chemistry room
Was ist das Formelzeichen für Wismut?;Bi;Wi;Ws;W;Mu;Gehe in den Chemiesaal und frag nach;Chemie-Saal;What is the chemical symbol for bismuth?;Bi;Wi;Ws;W;Mu;Go to the chemistry-lab and ask;Chemistry room
Wie heißt die beliebteste Chemieprofessorin an unserer Schule?;Chemloul;Poklitsch;Ulz;Taucher;Traumüller-Haynaly;Schüler fragen;Chemie-Saal;Who is the most popular female chemistry teacher?;Chemloul;Poklitsch;Ulz;Taucher;Traumüller-Haynaly;Ask students;Chemistry room
Welches Getränk kann man sich am buffet nicht kaufen?;Sprite;Balance;Eistee;Mineral;Eiskaffee;Nachschauen;Cafeteria;What drinks can't you buy at the cafeteria?;Sprite;Balance;Icetea;Mineral;Ice coffee;Look it up;Cafeteria
Was gibt es nicht in der Cafeteria zu essen?;Pommes;Bremsklötze;Schnitzelsemmel;Berner-Dog;Hot-Fisch;Manche Begriffe sind von der Schule erfunden worden.;Cafeteria;Which food can't you buy at the cafeteria?;french fries;Bremsklötze;Schnitzelsemmel;Berner-Dog;Hot-Fisch;Some words were invented at this school.;Cafeteria
Wie viel kostet eine Cola?;1,20 €;1,00 €;1,10 €;1,50 €;0,80 €;Kantine oder Automat;Cafeteria;How much is a Coke?;1,20 €;1,00 €;1,10 €;1,50 €;0,80 €;Cafeteria or vending machine;Cafeteria
Wie viel kostet ein Tagesmenü?;6,00 €;5,00 €;4,00 €;7,00 €;8,00 €;Kantine!;Cafeteria;How much is a full meal in the cafeteria?;6,00 €;5,00 €;4,00 €;7,00 €;8,00 €;Cafeteria!;Cafeteria
Wie viele Schüler WCs gibt es in der Schule?;14;11;9;0;12;Zähle die WCs (beim Turnsaal gibt es insgesamt 4 Räume);FUN;How many restrooms are in our school?;14;11;9;0;12;Count the toilets (there are 4 at the gym).;FUN
Wie heißt Prof. Wolfgang Pölzleitner mit Vornamen?;Wolfgang;Sigrun;Jermey-Chantal;Brunhilde;Gustavo;Friedrich;FUN;What is Prof. Wolfgang Pölzleitners first name?;Wolfgang;Sigrun;Jermey-Chantal;Brunhilde;Gustavo;Friedrich;FUN
Wie viel kostet ein "Coffee-to-Go"?;1,10€;0,50€;0,70€;0,99€;1,20€;Suche den Kaffeeautomaten in der Nähe der Werkstätten auf, oder frag jemanden.;Cafeteria;How much is a "coffee-to-go"?;1,10 €;0,50 €;0,70 €;0,99 €;1,20 €;Look for the Coffee vending machine near the workshops, or ask someone.;Cafeteria
An welchem Fluss liegt Kaindorf/Sulm?;Sulm;Mur;Donau;Enns;Pazifik;Steht am Ortsschild.;FUN;Which river is near Kaindorf/Sulm?;Sulm;Mur;Denube (Donau);Enns;Pazific;It's in the cities name.;FUN
Wie viele Fragen wurden bis jetzt gestellt?;9;11;10;8;14;Wir wissen die Antwort selber nicht, wir können dir leider nicht helfen;FUN;How many questions were asked until now?;9;11;10;13;14;We're sorry but we don't know the answer, we can't help you.;FUN
